,training_iterations,random_first_wins,random_second_wins,random_first_draws,random_second_draws,random_first_losses,random_second_losses,previous_first_wins,previous_second_wins,previous_first_draws,previous_second_draws,previous_first_losses,previous_second_losses
0,0,0.0,0.15,0.0,0.0,1.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
1,10000,0.2,0.55,0.0,0.0,0.8,0.45,1.0,0.9,0.0,0.0,0.0,0.1
2,20000,0.55,0.8,0.0,0.0,0.45,0.2,0.05,0.9,0.0,0.0,0.95,0.1
3,30000,0.25,0.6,0.0,0.0,0.75,0.4,0.95,0.2,0.0,0.0,0.05,0.8
4,40000,0.55,0.9,0.0,0.0,0.45,0.1,0.3,1.0,0.0,0.0,0.7,0.0
5,50000,0.75,0.9,0.0,0.0,0.25,0.1,1.0,1.0,0.0,0.0,0.0,0.0
6,60000,0.95,0.85,0.0,0.0,0.05,0.15,0.95,0.95,0.0,0.0,0.05,0.05
7,70000,0.9,0.85,0.0,0.0,0.1,0.15,1.0,0.85,0.0,0.0,0.0,0.15
8,80000,0.85,1.0,0.0,0.0,0.15,0.0,0.25,0.15,0.0,0.0,0.75,0.85
9,90000,0.8,0.95,0.0,0.0,0.2,0.05,1.0,0.9,0.0,0.0,0.0,0.1
10,100000,0.95,1.0,0.0,0.0,0.05,0.0,0.95,1.0,0.0,0.0,0.05,0.0
11,110000,0.95,1.0,0.0,0.0,0.05,0.0,0.95,1.0,0.0,0.0,0.05,0.0
12,120000,0.95,1.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,1.0
13,130000,0.95,1.0,0.0,0.0,0.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0
14,140000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
15,150000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
16,160000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.0,0.0,0.05
17,170000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
18,180000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19,190000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20,200000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.0,0.0,0.05
